Price,Close,High,Low,Open,Volume
Ticker,VCSH,VCSH,VCSH,VCSH,VCSH
Date,,,,,
2009-11-23,51.76272964477539,51.76272964477539,51.700826231364566,51.700826231364566,29300
2009-11-24,51.96218490600586,51.96218490600586,51.79023856978134,51.845257409360016,41000
2009-11-25,52.05160903930664,52.05160903930664,51.94156083593204,51.96219880960514,19800
2009-11-27,52.05848693847656,52.06536101545889,52.01034216266518,52.06536101545889,6300
2009-11-30,52.05848693847656,52.058486938476555,51.982830112574824,51.98970418955716,16500
2009-12-01,52.07913589477539,52.134160012104495,52.06537724174879,52.07225656826209,17600
2009-12-02,52.031009674072266,52.099787221586354,52.0241303451037,52.099787221586354,13000
2009-12-03,52.106632232666016,52.106632232666016,51.962197903795,51.962197903795,18700
2009-12-04,51.96218490600586,51.97593830405409,51.88652809827621,51.9690589813371,45600
2009-12-07,52.031009674072266,52.03788900304083,51.927840729105874,51.97598553710478,11700
2009-12-08,52.2372932434082,52.24417256591414,52.07910555747088,52.154762362879374,46800
2009-12-09,52.230438232421875,52.26482436273131,52.230438232421875,52.26482436273131,15600
2009-12-10,52.196044921875,52.21667764877412,52.15477946807676,52.19604492187501,33000
2009-12-11,52.1822624206543,52.23040717236709,52.14787106340899,52.22352785144115,26500
2009-12-14,52.18918228149414,52.25796505633015,52.16167022103753,52.251085729368754,29000
2009-12-15,52.099761962890625,52.182298128327155,52.04473785259961,52.106641288523996,66300
2009-12-16,52.2372932434082,52.34046209145483,52.18914848063786,52.23041916828786,169800
2009-12-17,52.271732330322266,52.34738920480212,52.271732330322266,52.29236506929125,82500
2009-12-18,52.2166748046875,52.34047640672644,52.21667480468751,52.33359708233899,11800
2009-12-21,52.147911071777344,52.26483338030025,52.113519688146646,52.26483338030025,31700
2009-12-22,52.14101791381836,52.168529963946945,52.06536108781149,52.10663178669788,115800
2009-12-23,52.06535339355469,52.134136132404905,52.02408794815354,52.05847931757865,78800
2009-12-24,51.9957389831543,52.12671230026356,51.9819548093612,52.11981758380314,20900
2009-12-28,51.961280822753906,52.00953332915876,51.93370721064702,51.981964976180635,43900
